filename,Artistic Categories,Score,Theme and logic,Creativity,Layout and composition,Space and perspective,The sense of order,Light and shadow,Color,Details and texture,The overall,Mood
3295bef5083b488a9f4375963a9ae7e9.png,traditional Chinese painting*meticulous*floral and avian,2.667,4,,3,2.5,3.17,2.5,3,2.83,3.33,3
3383cad16a754558b53d0b108677e240.png,traditional Chinese painting*meticulous*floral and avian,7.583,7.5,,7.33,6.83,6.67,6.83,7.33,7.33,7.33,6.67
33e72a373c924a9baed41e380a661729.jpg,traditional Chinese painting*meticulous*floral and avian,2.917,4.17,,3.33,2.83,3.17,3.17,3.17,3,3.33,3
33ff0abf03ac45c29fe31863e29f7e0f.png,traditional Chinese painting*meticulous*floral and avian,7.25,7.67,,7.17,7.5,7.33,6.5,7.17,8,7.33,6.5
35e4507789eb471bb58c112f3d6c81cb.png,traditional Chinese painting*meticulous*floral and avian,3,4.17,,3,2.5,3.17,2.67,2.67,2.83,3.17,3.17
362be5213d074cd19ff34e128a8a15a0.png,traditional Chinese painting*meticulous*floral and avian,2.667,3.67,,3.17,2.5,2.67,2.5,2.83,2.33,3,2.5
36b1008d4f324cc09bc9bbc2fb9e7fcc.png,traditional Chinese painting*meticulous*floral and avian,7.167,7.33,,7.5,7,7,6.83,7.33,7.33,6.5,6.33
37546ffd0b6e481f886485cc95e4ee6d.png,traditional Chinese painting*meticulous*floral and avian,6.5,7.5,,6.67,5.67,5.83,5.83,5.83,6.33,6.33,5.67
3801b61f4d484160b833bd70a47aaeb0.png,traditional Chinese painting*meticulous*floral and avian,2.583,3.83,,3.33,3,3.17,2.83,2.5,2.83,3.17,3
39833036e2ac4eb18540496542de76d1.png,traditional Chinese painting*meticulous*floral and avian,7.417,7.33,,7.33,6.33,7,6.33,7.83,8,7,6.83
3c7cfe7b0be94267aa7aed2f5f1245d3.png,traditional Chinese painting*meticulous*floral and avian,2.667,4.17,,2.83,2.17,2.83,2.33,2.5,2.17,3,2.5
3cf0354d17244afb90d5af6f6a38b0be.png,traditional Chinese painting*meticulous*floral and avian,3,4.33,,3.17,2.67,3.33,2.5,2.83,2.67,3.5,2.67
40875fc57b624414974c6a3b6ac64e46.png,traditional Chinese painting*meticulous*floral and avian,7.167,7,,7.17,6.83,6.67,6.67,6.5,7.17,6.67,6.17
41d040e560db4aa59883b0d6c79eec4e.png,traditional Chinese painting*meticulous*floral and avian,7.667,7.5,,7.67,7.83,7.17,7.33,7.33,8.17,7.33,7
4375de2d0d6748a382c9a8b749e02ef8.png,traditional Chinese painting*meticulous*floral and avian,7.167,6.83,,7.33,7,6.67,6.67,6.67,7.33,6.83,6.5
4376195988e14c539f2917e01d5ebc75.jpg,traditional Chinese painting*meticulous*floral and avian,2.167,3,,2.33,2.5,2.5,2.33,2.33,2.67,2.67,2.67
43f4da18f1624b38bdadfb2ec5fd8ce8.png,traditional Chinese painting*meticulous*floral and avian,2.5,3.67,,3.17,2.67,3,2.67,3,2.33,3.33,2.67
449a9180c70345c2af63a4d5a3acf3ce.png,traditional Chinese painting*meticulous*floral and avian,5.833,5,,5.83,6,6.5,6,6.17,6.17,6.5,4.33
4804262cd8024906a0232054e520bfb8.png,traditional Chinese painting*meticulous*floral and avian,7.333,7,,6.67,6.67,7,6.33,6.5,7.83,7,7
487e58ba1abd4b3095def22a74a0f180.png,traditional Chinese painting*meticulous*floral and avian,7.333,7.17,,6.83,6.83,7.33,6.67,6.83,8.17,7.5,6.83
4979f4db58624b0bb8ce2af289da2524.png,traditional Chinese painting*meticulous*floral and avian,7.333,7.33,,7.33,6.67,6.33,6.33,7.17,7.33,7.17,6.67
4a2c0b63e66645998e449117b42a410d.png,traditional Chinese painting*meticulous*floral and avian,6.5,7.33,,6.67,6.17,6.67,6.83,6.67,6.5,6.5,6.17
4ba5996cee7d40b197aba4ce630e1902.png,traditional Chinese painting*meticulous*floral and avian,2.917,4.17,,3.17,3,2.83,2.83,3,2.5,3,3
4bfcd441b8024b46a1c79ba31e1ee155.png,traditional Chinese painting*meticulous*floral and avian,7,7.17,,7.5,7.5,7.17,6.17,7.17,6.83,7.17,6.5
506a5f2277874706b173a3b4f885ae24.png,traditional Chinese painting*meticulous*floral and avian,7,6.67,,6.83,7.5,6.5,6.67,6.67,7,7.33,6.33
538e452d23964b30b242293b81ab84d6.png,traditional Chinese painting*meticulous*floral and avian,4.5,5.5,,4.67,3.83,4.83,4.17,3.67,4.33,4.5,4.5
5552e33078a44ffbb165e4c915b103aa.png,traditional Chinese painting*meticulous*floral and avian,7,7,,6.67,6.67,6.5,6.83,7.17,7.33,7.33,6.5
563b0d92745847cb97b59f1070eabd01.png,traditional Chinese painting*meticulous*floral and avian,2.75,4,,2.67,2.83,3.17,2.83,2.83,2.67,3.17,2.83
56f79d82a56946f0b6d1841522640a4c.png,traditional Chinese painting*meticulous*floral and avian,6.833,7.17,,6.83,6.67,6.83,6.33,6,7.67,7,6.5
5740d55c44a74d67a58d07dbe8b8a2cd.png,traditional Chinese painting*meticulous*floral and avian,3.083,4.33,,2.83,2.83,3,2.5,3.17,2.83,3.67,2.83
57eba6bba0d44f6b8ba9fa1a9c002e16.png,traditional Chinese painting*meticulous*floral and avian,7.083,7.17,,7.33,6.5,7,7.17,7.17,7.5,7,6.5
591b02b944e3417ab8e0ea1a86124a8a.png,traditional Chinese painting*meticulous*floral and avian,7.583,7.33,,7.5,7,6.5,7.5,7.33,7.33,7.67,7.17
5966d6498f9d4898acd69460472040b1.png,traditional Chinese painting*meticulous*floral and avian,7.083,7,,7.17,7.33,7,7.33,7.17,6.83,7.17,7
5b532fad663a44098da14606cc0f8d2b.png,traditional Chinese painting*meticulous*floral and avian,4.333,4.33,,4,3.33,3.83,4.33,4,4,4.17,3.83
5d06ac21c4ed4e598206b7dadd4a5ff5.png,traditional Chinese painting*meticulous*floral and avian,6.5,6,,6.83,6.17,6.33,6.17,6.83,6.5,6.5,6.17
5d4c2751d62240e98cc4fd2209b9ffaa.png,traditional Chinese painting*meticulous*floral and avian,7.75,7.83,,7.67,7.67,7,6.83,7.67,8,7.33,7.5
5e57108204524637a22c68deccdaa785.png,traditional Chinese painting*meticulous*floral and avian,7.583,7.67,,7.67,6.83,7.5,7,7.67,7.67,7.5,7
5f3dec90b84347338ba733bfe28ee8e2.png,traditional Chinese painting*meticulous*floral and avian,7.667,7.5,,7.5,7.5,7.5,7.5,7.5,7.17,7.17,6.83
602d3838ec5f4db8b2addb887bdb9cfb.png,traditional Chinese painting*meticulous*floral and avian,7,6.17,,7.17,6.83,7,6.83,7,6.83,6.83,6.5
6199010c33644f9b8a3b11ecabac8ec0.png,traditional Chinese painting*meticulous*floral and avian,2.833,3.33,,2.67,2.5,2.83,2.67,2.67,2.5,3,2.5
6210a9bae3cc4ef2aaed8b71b5cf8532.png,traditional Chinese painting*meticulous*floral and avian,6.667,6.83,,6.67,7,6.33,6.5,6.17,7.17,6.83,6.67
62c8e9ac89ac465380f02de78c17cb1e.png,traditional Chinese painting*meticulous*floral and avian,7,7.17,,7.17,6.33,6.33,6.67,6.83,7.67,6.67,6.83
63d75ba1eeff4791bb439bb1d583a799.png,traditional Chinese painting*meticulous*floral and avian,6.583,6.33,,6.67,6.5,6.17,6.33,6.67,6.17,6,6
63eac1ad760547108285a1c5042a7d78.png,traditional Chinese painting*meticulous*floral and avian,7.5,6.83,,6.33,7.33,7.17,7,7.17,7.17,7.17,7.17
63ebcdd9de704c489e857f17ca615863.png,traditional Chinese painting*meticulous*floral and avian,8.167,7.67,,7.83,7.67,8.17,7.33,7,8.5,8,8.33
647a03d1458e4ef39af742769ec1b9db.png,traditional Chinese painting*meticulous*floral and avian,7.417,6.67,,7.17,7,7.33,7,7.33,7.67,7.33,7.17
64c4fe51d55f4e2a8be199c2a6da5081.png,traditional Chinese painting*meticulous*floral and avian,7.333,7.33,,7.17,7,7.33,6.67,7.17,6.83,7.17,6.67
64e3cbbc31f040e3b40e77d8e4dfdce6.png,traditional Chinese painting*meticulous*floral and avian,5.917,6.17,,5.33,5.67,5.83,6,6,6.33,5.83,5.17
64eed4a861c24ab3ad8d53cc359be6f3.png,traditional Chinese painting*meticulous*floral and avian,3.667,5.67,,4.5,3.5,4.33,3.83,3.17,4,4.33,3
65266ea2cf7e42f0a546b872ff09026e.png,traditional Chinese painting*meticulous*floral and avian,7.5,7.5,,7.17,7.33,7.17,7.17,7.5,8,7.17,6.83
6a6b12e91f954e3ebaf37a6de96752c1.png,traditional Chinese painting*meticulous*floral and avian,6.583,6.5,,6.5,6.17,6.33,6.17,6.83,7,6.33,6.17
6aad62b6a4374961a5f931ce3242177f.png,traditional Chinese painting*meticulous*floral and avian,7.417,6.5,,7.5,7.33,7,7,7.33,6.83,7.33,7.17
6cd33995a1d941d09919585a14661e1c.png,traditional Chinese painting*meticulous*floral and avian,7.25,7.33,,7,6.33,7.33,6.67,7.17,7,7,7
6dd4bb05a8a1489c9c7a6e5265783016.png,traditional Chinese painting*meticulous*floral and avian,7.167,7.83,,7,7,7.17,7,7.5,7.5,7,6.83
6e9b54508b394995a1ad64fcc4304dbe.png,traditional Chinese painting*meticulous*floral and avian,6.417,6.67,,5.67,5.83,6.33,6.17,6.17,7.17,6.17,6.33
6fa698d1b2574f0eba82d65283ed0dbf.png,traditional Chinese painting*meticulous*floral and avian,6.833,6.17,,6.83,6.5,6.33,6.67,7,7.5,6.83,6.17
6fbd6f8a01bd4ab8a596018a8a072c59.png,traditional Chinese painting*meticulous*floral and avian,6.917,7.17,,6.33,5.5,6.17,6.17,6.17,7.33,6.5,5.5
6fcd8f674cc14aae92d3816477afbf47.png,traditional Chinese painting*meticulous*floral and avian,2.917,4.5,,3.5,2.83,3.5,2.83,2.5,2.83,3.5,2.83
709567960b6747ec9c68f2a6430ca68a.png,traditional Chinese painting*meticulous*floral and avian,2.917,4.33,,3.67,2.67,3,2.83,3.33,2.67,3.17,2.5
765b0c1176c049f6bf46dcf95d0dce0a.png,traditional Chinese painting*meticulous*floral and avian,7.167,7.67,,6.83,7,6.5,6.67,6.83,7.33,7.33,6.33
7675d64b04034aca856f6833b17be555.png,traditional Chinese painting*meticulous*floral and avian,7.417,7.33,,7.5,6.83,6.83,7,7.5,7,7,7
77d5f6508ce04834a4924f847604bdbf.png,traditional Chinese painting*meticulous*floral and avian,7,7.33,,6.83,6.5,6.83,6.5,7.17,6.67,6.5,6.5
7c7d49e7bec04a88b059a7d22b09ec10.png,traditional Chinese painting*meticulous*floral and avian,7.25,7.17,,6.83,7.33,7.17,6.33,6.83,6.83,7.33,5.83
7cdcc28c7bf84c938643f721f9177bc4.png,traditional Chinese painting*meticulous*floral and avian,7.167,7,,6.67,7,6.67,6.33,7.5,6.83,7,6.17
81e3589ebe1743389ad4afee75f2f950.png,traditional Chinese painting*meticulous*floral and avian,2.833,4.17,,3.67,2.83,3.67,2.67,2.5,2.67,3.5,2.5
83a45daa402b4a90989510af172ef676.png,traditional Chinese painting*meticulous*floral and avian,7.333,7.5,,7.67,7.17,7.33,6.5,6.33,8,7.5,6.67
8508fb92aea94ef5b91193684dc8f9ca.png,traditional Chinese painting*meticulous*floral and avian,6.917,7,,6.83,6.67,6.5,6.33,6.5,6.83,6.83,6.5
85bc7a0c876140abb5de3ca72468c79c.png,traditional Chinese painting*meticulous*floral and avian,7.417,7.33,,7.5,6.67,7.33,7,7.33,7.17,7.5,7.17
85bd01383a2547f28fe9cee8131d4587.png,traditional Chinese painting*meticulous*floral and avian,3.25,4.17,,3.17,3,3.33,2.83,3.17,3,3.67,3.17
863d9b66ded24fcaa30a25dc076cfdc6.png,traditional Chinese painting*meticulous*floral and avian,6.25,6.17,,6,5.5,5.83,5.67,5.67,6.67,6.17,5.83
86f8b0921730418f9c5c8f4b30f6a0b0.png,traditional Chinese painting*meticulous*floral and avian,7.167,6.67,,6.83,7,6.83,6.67,6.33,7,7,5.67
87b8cf7ce84b477e9d007af0dd8bb0fc.png,traditional Chinese painting*meticulous*floral and avian,6.417,6.33,,6,6,6.5,5.83,6,6.67,6.5,5.67
87d4c8b576444af78d58091c46bd268a.png,traditional Chinese painting*meticulous*floral and avian,6.917,7,,6.33,6.33,6.83,6.67,7,6.83,6.5,5.83
88c2571032004e07803c544bf93f0f8b.png,traditional Chinese painting*meticulous*floral and avian,6.833,7.17,,6.67,7,6.83,6.67,6.67,6.5,6.67,6.5
898eaae41cac49d4859a924d52b66588.png,traditional Chinese painting*meticulous*floral and avian,6.417,6.5,,6.17,6.17,6.33,6.17,6.67,6.83,6.33,6.33
8aa680c61ee24173be235580304a3a0a.png,traditional Chinese painting*meticulous*floral and avian,2.25,2.83,,2.33,2.5,2.33,2.5,2,2.5,2.67,2.5
8b6768dc02144cd0806d19e8ccccefbd.png,traditional Chinese painting*meticulous*floral and avian,6.75,7.5,,6.5,6.83,6.17,6.33,6.67,7.17,6.83,6.17
8c7c979e77f74541bb20d4b16a2bf81d.png,traditional Chinese painting*meticulous*floral and avian,6.833,6.83,,6.5,7,7.17,6.67,6.17,6.83,6.67,5.83
8f4fd034af304715824627f703e588d1.png,traditional Chinese painting*meticulous*floral and avian,6.917,7,,6.33,7,6.33,6.67,6,6.67,6.67,6
9133d99214504e66ade5d9c62fda15f2.png,traditional Chinese painting*meticulous*floral and avian,7.083,7.5,,7.17,7.17,7,6.83,7,6.83,7,6
914ff9ae83694edab5e9b543a0220936.png,traditional Chinese painting*meticulous*floral and avian,6.25,6,,5.67,6,6.5,5.83,6.67,6.67,6,6.17
92c97d4d170143939d83bb2dd65ea9c2.png,traditional Chinese painting*meticulous*floral and avian,7.25,7.33,,7.33,6.67,6.17,5.83,7,6.83,7.17,5.83
93ded386166643f594722cce74e383e2.png,traditional Chinese painting*meticulous*floral and avian,3.417,4.33,,3.33,3,3.5,3.17,2.83,3,3.83,3.17
9705918de2214a099f93f6a45cda8115.png,traditional Chinese painting*meticulous*floral and avian,5.833,6.33,,5.67,5.33,5.83,5.67,5.67,5.83,5.5,5.67
972ef4dd3bea400eade2a86c6ac510c5.png,traditional Chinese painting*meticulous*floral and avian,7.25,7.33,,6.67,6,6.83,6.17,7,7,7,6.33
983e6f511f3f4ebabee352c1b91d1619.png,traditional Chinese painting*meticulous*floral and avian,3.25,3.5,,3.5,2.83,3.33,2.5,2.5,2.67,3.5,3.33
98fc947fbafb484687909cf729e402b4.png,traditional Chinese painting*meticulous*floral and avian,6.167,6.67,,6.67,5.83,5.67,5.83,6,6.67,6.67,5.17
99c179fe9c9c44a1a7ef51b027df9d9c.png,traditional Chinese painting*meticulous*floral and avian,7,7,,6.67,6,6.5,6.17,6.17,7.33,7.17,6.17
99ff94b73e0d4ab1b722f830c974df08.png,traditional Chinese painting*meticulous*floral and avian,4.167,4.83,,3.83,3,4,3.17,3.33,3,4,3
9aed4b1688e0497b996fab6ebdd35faa.png,traditional Chinese painting*meticulous*floral and avian,3.5,3.67,,3.67,3,3.83,3.67,3,3,3.33,3.5
9bb47acdfacf423fb5b24db62df404db.png,traditional Chinese painting*meticulous*floral and avian,7.417,7.33,,7.17,7.17,7.17,7.33,7.67,7.17,7.33,6.17
9c69cec11f994648bfac1c7aa8626938.png,traditional Chinese painting*meticulous*floral and avian,3,3.5,,3.33,2.67,3,2.33,3,2.67,3,2.83
9dbe0bc6b47643c9acae9f8b4e4db87f.png,traditional Chinese painting*meticulous*floral and avian,7.667,6.67,,7.33,7.67,6.83,7.5,7.5,7.17,7.5,7
a06be32e72e94dad82bca3d5b7dad03f.png,traditional Chinese painting*meticulous*floral and avian,4.917,5,,4.5,4.5,4.33,3.83,3.83,4.17,4.5,4.5
a1abaf1a47aa4a8eaaba81d1c16c9526.png,traditional Chinese painting*meticulous*floral and avian,6.25,6.17,,5.83,5.67,6.33,6.33,6,6.33,5.83,5.5
a2853a82cfd0424dbf6e410a9eff8995.png,traditional Chinese painting*meticulous*floral and avian,6.167,6.83,,6.17,5.83,6.33,6,5.67,5.83,6.5,6.5
a3ccf8ea5377491abf0e1d817f7e76d2.png,traditional Chinese painting*meticulous*floral and avian,7.071,6.29,,6.57,6.43,7,6.71,6.43,7,6.57,6.14
a3e69bfe5c104b15a8d882edb61c2b2d.png,traditional Chinese painting*meticulous*floral and avian,7.286,7.29,,6.57,6.57,6.71,5.86,6.71,6.57,6.71,7.14
a419d159af9a48a1a5aac0131eccb0dd.png,traditional Chinese painting*meticulous*floral and avian,7.214,7,,6.71,6.57,6.43,6.14,6.57,6.71,6.57,5.43
a559adeea5714fdb9c465493aabc8e69.png,traditional Chinese painting*meticulous*floral and avian,5.75,5.67,,5.67,5.83,5.83,5.5,5.33,5.83,5.67,4.83
a62fdc55bbcc44f6b5b7b1c14e30bc0c.png,traditional Chinese painting*meticulous*floral and avian,3.083,3.33,,3.5,3.17,3.17,3,2.67,2.83,3.33,3
a842a9f4e9e546e6b44a8923bbd37b15.png,traditional Chinese painting*meticulous*floral and avian,7.917,7.33,,8.17,7.5,7.17,6.5,6,8,8,7.83
aa7f99a5879b48d0ac864c4d570d01d4.png,traditional Chinese painting*meticulous*floral and avian,7.417,6.83,,6.83,6.83,6.67,7.33,7.33,7.33,7.33,7
abf996e4e74c4cf69134c9c1f77df24f.png,traditional Chinese painting*meticulous*floral and avian,7,6,,6.5,6.5,5.83,6,6.17,6.5,6.83,6.67
af756a9a80ec4c8a8ac98bf71ce803b4.png,traditional Chinese painting*meticulous*floral and avian,2.75,3.17,,3,3,3.17,2.67,3,2.83,2.67,3
b135a36f21c24234af0ac282f794fe9f.png,traditional Chinese painting*meticulous*floral and avian,4.917,5.17,,4.67,4.5,5,5,4.67,5.17,4.67,4.33
b15a8741d7c14ab2860c44690d8d79f5.png,traditional Chinese painting*meticulous*floral and avian,7.083,7,,7.33,6.5,6.5,7.17,7,7.33,6.83,6.5
b16cc674a34b4293a33a29f94b3272c0.png,traditional Chinese painting*meticulous*floral and avian,6.5,6.33,,6.5,6.83,6.5,6.33,5.83,6.5,6.33,5.5
b1d09038b9624c18bd744586b8857668.png,traditional Chinese painting*meticulous*floral and avian,3.167,3.67,,3.33,3.33,3.17,2.83,3.33,2.67,3.33,3.17
b54be2153a6745559f3f2410f60d69d5.png,traditional Chinese painting*meticulous*floral and avian,7.083,6.83,,6.67,6.83,6.5,6.33,6.67,6.83,6.33,6
b92e832b2217459a9b4bfb8f642f2a4c.png,traditional Chinese painting*meticulous*floral and avian,7.083,7,,6.83,6.17,6.33,6.17,7,6.17,6.83,6.17
b93833f2f06742aaaadf4f33ee701dff.png,traditional Chinese painting*meticulous*floral and avian,6.583,6.17,,6.33,5.83,6.33,6.33,6.33,6.5,6.67,6
bdcd5cdf6ad349ce904e8480a62431e1.png,traditional Chinese painting*meticulous*floral and avian,7.333,6.5,,7.33,7,7.17,7,7,8.17,7,6
bf439e5e8e744647af512da3e4a07b98.png,traditional Chinese painting*meticulous*floral and avian,6.333,6.17,,6.33,5.67,6,5.67,6.33,6.67,5.83,5.67
c13399c188f744779a2299eeeae46191.png,traditional Chinese painting*meticulous*floral and avian,6.667,6.83,,6.33,6.67,6.67,6.17,6.33,7,6.33,6.67
c267367c0cf2427da1465f620677660b.png,traditional Chinese painting*meticulous*floral and avian,6.917,6.83,,6.17,6.17,6.5,6.5,6.33,7.33,6.5,6.33
c2e47c0afe4b489b9ed3b9498473e9ac.png,traditional Chinese painting*meticulous*floral and avian,7.083,6.83,,6.33,6.17,7,6.83,7.17,7.33,6.33,6.33
c472e09e857d4855acaebd2c81e56557.png,traditional Chinese painting*meticulous*floral and avian,6.75,6.5,,6.17,6.33,6.5,6.17,7.17,7,6.5,6.17
c5a7d46983bb4b2780a9b1ddefee1ed0.png,traditional Chinese painting*meticulous*floral and avian,6.667,6.67,,6.5,7,7,6.67,6.17,6.5,6.17,5.67
c88682006ea84353be4b5c13a748ad63.png,traditional Chinese painting*meticulous*floral and avian,6.75,6.17,,6.17,7.17,5.83,6.5,6.67,6.67,6.17,5.83
c889e1af6be8486c90373e71756367fa.png,traditional Chinese painting*meticulous*floral and avian,2.833,3,,3.17,2.33,3.17,2.67,2.83,2.33,3,3
ca672cc7d96848749bc938fb94cede0f.png,traditional Chinese painting*meticulous*floral and avian,2.833,3.33,,3.5,2.83,3.17,2.83,3,2.67,3.17,2.83
cbed265dadd8485fab4f52ad199cb256.png,traditional Chinese painting*meticulous*floral and avian,2.833,3.17,,3.5,2.83,2.67,2.67,3,2.5,3,2.5
cd1a4c94a2ce46c797e420f660039fa9.png,traditional Chinese painting*meticulous*floral and avian,6.833,6.33,,7.33,6.83,6.67,6,6.67,7.17,6.67,7.17
ce102ea99812424d94369d84e29a1685.png,traditional Chinese painting*meticulous*floral and avian,7.583,7.83,,7.5,7.17,7,6.67,7.33,8.17,7,7.67
cf31c91ccdbf488daf0534335a9f4802.png,traditional Chinese painting*meticulous*floral and avian,6.833,6.17,,6.83,6.67,6.33,6.5,6.5,6.83,6.5,6
cf6bf010e6f14cb989c33c3f065815e7.png,traditional Chinese painting*meticulous*floral and avian,6.75,6.5,,6.33,6.67,6.17,6.17,7.5,6.67,6.33,6
d098a5d23a5049bba43e03128c6a205a.png,traditional Chinese painting*meticulous*floral and avian,2.667,3.83,,2.67,2.83,3,2.33,2.83,2.17,3.17,2.33
d0cca0d8aa424dbf8e90ee4c899b5487.png,traditional Chinese painting*meticulous*floral and avian,7.5,7,,7,7.33,7,6.83,6.83,7.83,7,6.17
d432d3a6963248a89667e7bee757c5b8.png,traditional Chinese painting*meticulous*floral and avian,5,5.33,,5.17,5,5.33,5,5.17,4.83,4.83,4.83
d5179183aaf9411892a35d5481c07f36.png,traditional Chinese painting*meticulous*floral and avian,7,6.5,,6.33,6.5,6.5,6,6,6.83,6.5,6
d54b8b62681d449fb14b750a290b475f.png,traditional Chinese painting*meticulous*floral and avian,7.083,6.83,,6.67,6,6.33,6,6.83,7.67,7.33,5.83
d5f8a951b38a4ee6878f7cc112548669.png,traditional Chinese painting*meticulous*floral and avian,3.25,3.17,,3,3,3.33,2.83,3.33,3.33,3.5,3.17
